Deutsch,English
das Waschbecken,the sink
der Reifen,the tire
der Fan,the fan
die Vorhänge,the curtains
die Decken,the blankets
das Kissen,the pillow
die Kante,the edge
Der Geldbeutel,the wallet
die Zeitung,the newspaper
die Bestimmung,the determination
der Zustand,the condition
der Couch,the couch
der Lärm,the noise
die Schublade,the drawer
das Heimatland,the homeland
das Fremde,the foreign
die Fußgänger,the pedestrians
das Eigentum,the property
der Winkel,the angle
der Rückstoß,the recoil
das Rohr,the tube
der Frieden,the peace
der Schurke,the villian
die Verabredung,the appointment
das Stichwort,the clueword
der Bereich,the zone
die ableitungen,the derivatives
die vereinfachungen,the simplifications
der Flüchtling,the refugees
die Verfügung,the disposal
der Groll,the resentment
die Freude,the joy
die zunehmende,the increasing
die Beute,the prey
das Sperrgebiet,the restricted area
die Verneinung,the negation
die Bestrafung,the punishment
die Unannehmlichkeiten,the inconveniences
das Ereignis,the event
der Enkel,the grandson
der Neffe,the nephew
